Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
calling_helper,Failure,5,1,2023-07-28 14:53:31 -0600,2023-08-01 14:02:08 -0600,0:00:00
Untitled,Success,3,0,2023-08-01 13:38:41 -0600,2024-08-13 17:28:04 -0600,0:00:00
